,oci_cat,oci,area_sq_ft,seg_cd,total_count,day_diff,func_cat,pvm_cat,status_cat
206,1,83.32,20220.0,3,0.0,0,3,1,1
207,1,81.99,19776.701,3,0.0,0,3,1,1
208,1,86.22,16550.0,3,0.0,0,3,1,1
209,1,59.37,5083.02,3,0.0,0,3,1,1
210,1,82.85,23135.73,3,0.0,154,3,1,1
211,1,72.66,22501.297,3,0.0,154,2,1,1
212,1,82.84,23040.695,3,0.0,154,2,1,1
213,1,86.18,22560.715,3,0.0,154,2,1,1
214,1,79.1,22500.732,3,0.0,154,2,1,1
215,1,82.03,23281.23,3,0.0,154,2,1,1
216,1,87.18,22980.695,3,0.0,154,2,1,1
217,1,79.07,22980.012,3,0.0,154,2,1,1
218,1,79.3,22620.312,3,0.0,154,2,1,1
219,1,75.42,22680.707,3,0.0,154,2,1,1
220,1,81.86,22980.324,3,0.0,154,3,1,1
221,1,77.97,22742.844,3,0.0,154,3,1,1
222,1,81.21,22861.963,3,0.0,154,3,1,1
223,1,80.64,22562.887,3,0.0,154,3,1,1
224,1,74.91,23282.777,3,0.0,154,3,1,1
225,1,81.28,19864.61,3,0.0,0,2,1,1
226,1,76.19,19708.27,3,0.0,0,2,1,1
227,1,78.67,19604.285,3,0.0,0,2,1,1
228,1,76.61,19811.994,3,0.0,0,2,1,1
229,1,69.53,19811.994,3,0.0,0,2,1,1
230,1,73.65,20020.01,3,0.0,0,2,1,1
231,0,37.83,19812.062,3,0.0,0,2,1,0
232,1,87.7,19500.0,3,0.0,0,2,1,1
233,1,59.37,20020.01,3,0.0,0,2,1,1
234,1,85.22,20228.594,3,0.0,0,2,1,1
235,1,85.22,20228.594,3,0.0,0,2,1,1
236,1,88.6,20072.266,3,0.0,0,2,1,1
237,1,88.6,20072.266,3,0.0,0,2,1,1
238,1,87.32,20020.01,3,0.0,0,2,1,1
239,1,87.32,20020.01,3,0.0,0,2,1,1
240,1,90.83,19864.61,3,0.0,0,2,1,1
241,1,90.83,19864.61,3,0.0,0,2,1,1
242,1,93.4,19864.61,3,0.0,0,2,1,1
243,1,77.45,45840.0,3,0.0,0,3,1,1
244,1,84.25,23940.0,3,0.0,0,3,1,1
245,1,81.36,27784.332,3,0.0,0,1,1,1
246,1,92.9,16933.455,3,0.0,0,1,1,1
247,1,89.48,19448.01,3,0.0,0,2,1,1
248,1,89.48,19448.01,3,0.0,0,2,1,1
249,1,80.29,13752.043,3,0.0,0,2,1,1
250,1,80.29,13752.043,3,0.0,0,2,1,1
251,1,70.27,19864.266,3,0.0,0,2,1,1
252,1,80.14,19916.078,3,0.0,0,2,1,1
253,1,79.76,19552.062,3,0.0,0,2,1,1
254,1,80.69,19916.281,3,0.0,0,2,1,1
255,1,83.23,20384.057,3,0.0,0,2,1,1
256,1,83.23,20384.057,3,0.0,0,2,1,1
257,1,81.72,20489.05,3,0.0,0,2,1,1
258,1,91.0,19401.658,3,0.0,0,2,1,1
259,1,82.61,17079.158,3,0.0,0,1,1,1
260,1,85.88,19760.062,3,0.0,0,1,1,1
261,1,88.0,19916.062,3,0.0,0,2,1,1
262,1,70.86,19864.285,3,0.0,0,2,1,1
263,1,70.86,19864.285,3,0.0,0,2,1,1
264,1,76.45,20384.594,3,0.0,0,2,1,1
265,1,94.4,20319.062,3,0.0,0,2,1,1
266,1,61.71,19669.01,3,0.0,0,2,1,1
267,1,56.87,21817.863,3,0.0,0,1,1,1
268,0,25.5,3432.108,1,0.0,0,1,1,0
