,oci,seg_length_ft,seg_width_ft,area_sq_ft,oci_wt,seg_cd,length,width,paving_miles,oci_cat,func_cat,pvm_cat,status_cat,day_diff
115,75.65,380.0012,52.0,19760.062,1494888.2,3,381,52,0.14431818,1,2,1,1,0
116,66.74,379.9999,52.0,19759.994,1318821.6,3,380,52,0.14393939,1,2,1,1,0
117,78.87,379.0015,52.0,19708.078,1554415.5,3,380,52,0.14393939,1,2,1,1,0
118,69.77,384.0012,52.0,19968.062,1393171.8,3,385,52,0.14583333,1,2,1,1,0
119,69.77,384.0012,52.0,19968.062,1393171.8,3,385,52,0.14583333,1,2,1,1,0
120,67.32,382.0012,52.0,19864.062,1337328.1,3,383,52,0.14507575,1,2,1,1,0
121,67.39,367.0054,52.0,19084.281,1286051.5,3,368,52,0.13939394,1,2,1,1,0
122,64.91,382.9999,52.0,19915.994,1292787.0,3,383,52,0.14507575,1,2,1,1,0
123,47.43,374.9999,52.0,19499.994,924806.75,3,375,52,0.14204545,1,2,1,1,0
124,47.43,374.9999,52.0,19499.994,924806.75,3,375,52,0.14204545,1,2,1,1,0
125,65.59,384.0015,52.0,19968.078,1309746.1,3,385,52,0.14583333,1,2,1,1,0
126,89.25,377.9999,50.0,18899.994,1686824.5,3,378,50,0.14318182,1,2,1,1,0
127,89.25,377.9999,50.0,18899.994,1686824.5,3,378,50,0.14318182,1,2,1,1,0
128,81.98,380.9999,45.0,17144.996,1405615.2,3,381,45,0.07215909,1,2,1,1,0
129,84.2,388.0015,50.0,19400.074,1633408.8,3,389,50,0.14734848,1,2,1,1,0
130,78.86,383.0051,52.0,19916.266,1570596.6,3,384,52,0.14545454,1,2,1,1,0
131,86.56,372.0053,52.0,19344.275,1674440.5,3,373,52,0.14128788,1,2,1,1,0
132,89.02,388.0054,52.0,20176.281,1796173.2,3,389,52,0.14734848,1,2,1,1,0
133,89.02,388.0054,52.0,20176.281,1796173.2,3,389,52,0.14734848,1,2,1,1,0
134,70.71,390.0114,52.0,20280.594,1434000.1,3,391,52,0.14810607,1,2,1,1,0
135,75.55,377.0016,52.0,19604.084,1481166.9,3,378,52,0.14318182,1,2,1,4,194
136,75.55,377.0016,52.0,19604.084,1481166.9,3,378,52,0.14318182,1,2,1,1,0
137,77.93,384.0207,52.0,19969.076,1556190.1,3,385,52,0.14583333,1,2,1,4,194
138,77.93,384.0207,52.0,19969.076,1556190.1,3,385,52,0.14583333,1,2,1,1,0
139,67.91,387.007,52.0,20124.363,1366685.8,3,388,52,0.14696969,1,2,1,1,0
140,76.27,593.0032,40.0,23720.129,1809134.1,3,594,40,0.1125,1,1,1,1,0
141,92.0,289.0,40.0,11560.0,1063543.1,3,289,40,0.05473485,1,1,1,1,0
142,83.14,748.1958,40.0,29927.832,2488200.0,3,749,40,0.14185606,1,5,1,1,0
143,65.33,637.3722,52.0,33143.355,2165388.0,3,638,52,0.24166666,1,2,1,1,0
144,65.33,637.3722,52.0,33143.355,2165388.0,3,638,52,0.24166666,1,2,1,1,0
145,77.96,478.0,52.0,24856.0,1937873.1,3,478,52,0.18106061,1,2,1,1,0
146,77.96,478.0,52.0,24856.0,1937873.1,3,478,52,0.18106061,1,2,1,1,0
147,91.24,331.0,52.0,17212.0,1570422.9,3,331,52,0.12537879,1,2,1,1,0
148,91.24,331.0,52.0,17212.0,1570422.9,3,331,52,0.12537879,1,2,1,1,0
149,85.14,331.0,52.0,17212.0,1465429.6,3,331,52,0.12537879,1,2,1,1,0
150,85.14,331.0,52.0,17212.0,1465429.6,3,331,52,0.12537879,1,2,1,1,0
151,83.64,330.0015,52.0,17160.078,1435268.9,3,331,52,0.12537879,1,2,1,1,0
152,83.64,330.0015,52.0,17160.078,1435268.9,3,331,52,0.12537879,1,2,1,1,0
153,87.24,327.0,52.0,17004.0,1483429.0,3,327,52,0.12386364,1,2,1,1,0
154,87.24,327.0,52.0,17004.0,1483429.0,3,327,52,0.12386364,1,2,1,1,0
155,90.31,442.0012,52.0,22984.062,2075644.8,3,443,52,0.16780303,1,2,1,1,0
156,90.31,442.0012,52.0,22984.062,2075644.8,3,443,52,0.16780303,1,2,1,1,0
157,80.04,232.0023,52.0,12064.119,965612.1,3,233,52,0.08825757,1,2,1,1,0
158,80.04,232.0023,52.0,12064.119,965612.1,3,233,52,0.08825757,1,2,1,1,0
159,80.44,246.9998,52.0,12843.989,1033170.5,3,247,52,0.093560606,1,2,1,1,0
160,80.44,246.9998,52.0,12843.989,1033170.5,3,247,52,0.093560606,1,2,1,1,0
161,98.24,381.0012,52.0,19812.062,1946257.8,3,382,52,0.14469697,1,2,1,1,0
162,98.24,381.0012,52.0,19812.062,1946257.8,3,382,52,0.14469697,1,2,1,1,0
163,92.43,377.0016,52.0,19604.084,1812044.6,3,378,52,0.14318182,1,2,1,1,0
164,92.43,377.0016,52.0,19604.084,1812044.6,3,378,52,0.14318182,1,2,1,1,0
165,93.44,382.9999,52.0,19915.994,1860870.9,3,383,52,0.14507575,1,2,1,1,0
166,93.44,382.9999,52.0,19915.994,1860870.9,3,383,52,0.14507575,1,2,1,1,0
167,96.36,380.0012,52.0,19760.062,1904000.6,3,381,52,0.14431818,1,2,1,1,0
168,96.36,380.0012,52.0,19760.062,1904000.6,3,381,52,0.14431818,1,2,1,1,0
169,91.49,375.0002,52.0,19500.01,1784017.0,3,376,52,0.14242424,1,2,1,1,0
170,91.49,375.0002,52.0,19500.01,1784017.0,3,376,52,0.14242424,1,2,1,1,0
171,89.28,384.0012,52.0,19968.062,1782748.6,3,385,52,0.14583333,1,2,1,1,0
172,89.28,384.0012,52.0,19968.062,1782748.6,3,385,52,0.14583333,1,2,1,1,0
173,90.64,385.9999,52.0,20071.994,1819245.4,3,386,52,0.14621212,1,2,1,1,0
174,90.64,385.9999,52.0,20071.994,1819245.4,3,386,52,0.14621212,1,2,1,1,0
175,86.3,380.0055,52.0,19760.285,1705312.6,3,381,52,0.14431818,1,2,1,1,0
176,86.3,380.0055,52.0,19760.285,1705312.6,3,381,52,0.14431818,1,2,1,1,0
177,93.35,378.9999,52.0,19707.994,1839780.8,3,379,52,0.1435606,1,2,1,1,0
178,93.35,378.9999,52.0,19707.994,1839780.8,3,379,52,0.1435606,1,2,1,1,0
179,86.02,376.9999,52.0,19603.994,1686335.6,3,377,52,0.14280303,1,2,1,1,0
180,86.02,376.9999,52.0,19603.994,1686335.6,3,377,52,0.14280303,1,2,1,1,0
181,86.5,383.0002,52.0,19916.01,1722655.2,3,384,52,0.14545454,1,2,1,1,0
182,86.5,383.0002,52.0,19916.01,1722655.2,3,384,52,0.14545454,1,2,1,1,0
183,82.09,380.0012,52.0,19760.062,1622064.0,3,381,52,0.14431818,1,2,1,1,0
184,82.09,380.0052,52.0,19760.27,1622160.1,3,381,52,0.14431818,1,2,1,1,0
185,85.28,378.0016,52.0,19656.084,1676192.1,3,379,52,0.1435606,1,2,1,1,0
186,90.09,386.0012,52.0,20072.062,1808252.0,3,387,52,0.1465909,1,2,1,1,0
187,80.74,382.0012,52.0,19864.062,1603784.6,3,383,52,0.14507575,1,2,1,1,0
188,68.25,363.9999,52.0,18927.994,1291911.4,3,364,52,0.13787879,1,2,1,1,0
189,69.16,382.9999,52.0,19915.994,1377390.2,3,383,52,0.14507575,1,2,1,1,0
190,79.91,377.0012,52.0,19604.062,1566521.4,3,378,52,0.14318182,1,2,1,1,0
191,67.58,380.0002,52.0,19760.01,1335302.5,3,381,52,0.14431818,1,2,1,1,0
192,77.68,379.9999,52.0,19759.994,1534956.4,3,380,52,0.14393939,1,2,1,1,0
193,82.2,381.0012,38.0,14478.046,1190153.2,3,382,38,0.07234848,1,2,1,2,154
194,82.2,381.0012,38.0,14478.046,1190153.2,3,382,38,0.07234848,1,2,1,1,0
195,84.5,387.0015,38.0,14706.057,1242661.9,3,388,38,0.073484845,1,2,1,2,154
196,84.5,387.0015,38.0,14706.057,1242661.9,3,388,38,0.073484845,1,2,1,1,0
197,85.14,382.0051,52.0,19864.266,1691323.0,3,383,52,0.14507575,1,2,1,1,0
198,69.4,373.0013,52.0,19396.068,1346087.1,3,374,52,0.14166667,1,2,1,1,0
199,80.25,386.0015,52.0,20072.078,1610704.0,3,387,52,0.1465909,1,2,1,1,0
200,83.25,382.0015,52.0,19864.078,1653684.5,3,383,52,0.14507575,1,2,1,2,798
201,92.8,274.029,36.0,9865.044,915476.06,3,275,36,0.052083332,1,1,1,3,154
202,92.8,274.029,36.0,9865.044,915476.06,3,275,36,0.052083332,1,1,1,1,0
203,84.78,173.7005,36.0,6253.218,530172.8,3,174,36,0.032954544,1,1,1,3,154
204,84.78,173.7005,36.0,6253.218,530172.8,3,174,36,0.032954544,1,1,1,1,0
205,77.59,497.004,60.0,29820.24,2313812.0,3,498,60,0.18863636,1,3,1,1,0
206,83.32,337.0,60.0,20220.0,1684811.2,3,337,60,0.12765151,1,3,1,1,0
207,81.99,329.6117,60.0,19776.701,1621452.2,3,330,60,0.125,1,3,1,1,0
208,86.22,331.0,50.0,16550.0,1427007.2,3,331,50,0.12537879,1,3,1,1,0
209,59.37,84.717,60.0,5083.02,301768.72,3,85,60,0.03219697,1,3,1,1,0
210,82.85,385.5955,60.0,23135.73,1916749.0,3,386,60,0.14621212,1,3,1,2,154
211,72.66,375.0216,60.0,22501.297,1634944.1,3,376,60,0.14242424,1,2,1,2,154
212,82.84,384.0116,60.0,23040.695,1908599.1,3,385,60,0.14583333,1,2,1,2,154
213,86.18,376.0119,60.0,22560.715,1944192.1,3,377,60,0.14280303,1,2,1,2,154
214,79.1,375.0122,60.0,22500.732,1779807.9,3,376,60,0.14242424,1,2,1,2,154
215,82.03,388.0205,60.0,23281.23,1909805.9,3,389,60,0.14734848,1,2,1,2,154
216,87.18,383.0116,60.0,22980.695,2003549.0,3,384,60,0.14545454,1,2,1,2,154
217,79.07,383.0002,60.0,22980.012,1817075.5,3,384,60,0.14545454,1,2,1,2,154
218,79.3,377.0052,60.0,22620.312,1793881.2,3,378,60,0.14318182,1,2,1,2,154
219,75.42,378.0118,60.0,22680.707,1710579.0,3,379,60,0.1435606,1,2,1,2,154
220,81.86,383.0054,60.0,22980.324,1881169.4,3,384,60,0.14545454,1,3,1,2,154
221,77.97,379.0474,60.0,22742.844,1773214.0,3,380,60,0.14393939,1,3,1,2,154
222,81.21,381.0327,60.0,22861.963,1856574.2,3,382,60,0.14469697,1,3,1,2,154
223,80.64,376.0481,60.0,22562.887,1819516.2,3,377,60,0.14280303,1,3,1,2,154
224,74.91,388.0463,60.0,23282.777,1744206.0,3,389,60,0.14734848,1,3,1,2,154
225,81.28,382.0117,52.0,19864.61,1614674.9,3,383,52,0.14507575,1,2,1,1,0
226,76.19,379.0052,52.0,19708.27,1501652.0,3,380,52,0.14393939,1,2,1,1,0
227,78.67,377.0055,52.0,19604.285,1542308.4,3,378,52,0.14318182,1,2,1,1,0
228,76.61,380.9999,52.0,19811.994,1517757.2,3,381,52,0.14431818,1,2,1,1,0
229,69.53,380.9999,52.0,19811.994,1377448.8,3,381,52,0.14431818,1,2,1,1,0
230,73.65,385.0002,52.0,20020.01,1474433.8,3,386,52,0.14621212,1,2,1,1,0
231,37.83,381.0012,52.0,19812.062,749490.3,3,382,52,0.14469697,0,2,1,1,0
232,87.7,375.0,52.0,19500.0,1710150.0,3,375,52,0.14204545,1,2,1,1,0
233,59.37,385.0002,52.0,20020.01,1188628.0,3,386,52,0.14621212,1,2,1,1,0
234,85.22,389.0114,52.0,20228.594,1723840.2,3,390,52,0.14772727,1,2,1,1,0
235,85.22,389.0114,52.0,20228.594,1723840.2,3,390,52,0.14772727,1,2,1,1,0
236,88.6,386.0051,52.0,20072.266,1778362.5,3,387,52,0.1465909,1,2,1,1,0
237,88.6,386.0051,52.0,20072.266,1778362.5,3,387,52,0.1465909,1,2,1,1,0
238,87.32,385.0002,52.0,20020.01,1748067.2,3,386,52,0.14621212,1,2,1,1,0
239,87.32,385.0002,52.0,20020.01,1748067.2,3,386,52,0.14621212,1,2,1,1,0
240,90.83,382.0117,52.0,19864.61,1804302.4,3,383,52,0.14507575,1,2,1,1,0
241,90.83,382.0117,52.0,19864.61,1804302.4,3,383,52,0.14507575,1,2,1,1,0
242,93.4,382.0117,52.0,19864.61,1855354.4,3,383,52,0.14507575,1,2,1,1,0
243,77.45,764.0,60.0,45840.0,3550216.2,3,764,60,0.28939393,1,3,1,1,0
244,84.25,399.0,60.0,23940.0,2016992.9,3,399,60,0.15113637,1,3,1,1,0
245,81.36,604.0072,46.0,27784.332,2260422.0,3,605,46,0.114583336,1,1,1,1,0
246,92.9,413.0111,41.0,16933.455,1573118.0,3,414,41,0.07840909,1,1,1,1,0
247,89.48,374.0002,52.0,19448.01,1740208.0,3,375,52,0.14204545,1,2,1,1,0
248,89.48,374.0002,52.0,19448.01,1740208.0,3,375,52,0.14204545,1,2,1,1,0
249,80.29,382.0012,36.0,13752.043,1104206.5,3,383,36,0.07253788,1,2,1,1,0
250,80.29,382.0012,36.0,13752.043,1104206.5,3,383,36,0.07253788,1,2,1,1,0
251,70.27,382.0051,52.0,19864.266,1395822.1,3,383,52,0.14507575,1,2,1,1,0
252,80.14,383.0015,52.0,19916.078,1595994.9,3,384,52,0.14545454,1,2,1,1,0
253,79.76,376.0012,52.0,19552.062,1559394.2,3,377,52,0.14280303,1,2,1,1,0
254,80.69,383.0054,52.0,19916.281,1607084.5,3,384,52,0.14545454,1,2,1,1,0
255,83.23,392.0011,52.0,20384.057,1696605.9,3,393,52,0.14886364,1,2,1,1,0
256,83.23,392.0011,52.0,20384.057,1696605.9,3,393,52,0.14886364,1,2,1,1,0
257,81.72,394.0202,52.0,20489.05,1674365.2,3,395,52,0.14962122,1,2,1,1,0
