id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
04AV063509,04 AV,E ST - BROADWAY ,,9030,,,9030,0635-09,2009-10-06
04AV062812,04 AV,E ST - BROADWAY ,,10732,,,10732,0628-12,2012-08-09
04AV042216,04 AV,E ST - BROADWAY ,,9333,,,9333,0422-16,2016-10-25
04AV058306,04 AV,G ST - F ST,,14480,,,14480,0583-06,2006-10-09
04AV072408,04 AV,G ST - F ST,,13800,,,13800,0724-08,2008-12-03
04AV063309,04 AV,G ST - F ST,,14095,,,14095,0633-09,2009-10-20
04AV042016,04 AV,G ST - F ST,,13209,,,13209,0420-16,2016-10-25
04AV013108,04 AV,GRAPE ST - HAWTHORN ST,,7790,,,7790,0131-08,2008-03-20
04AV032211,04 AV,GRAPE ST - HAWTHORN ST,,9205,,,9205,0322-11,2011-05-25
04AV002614,04 AV,GRAPE ST - HAWTHORN ST,,6948,,,6948,0026-14,2014-02-11
04AV114614,04 AV,GRAPE ST - HAWTHORN ST,,6223,,,6223,1146-14,2014-08-05
04AV056415,04 AV,GRAPE ST - HAWTHORN ST,,6600,,,6600,0564-15,2015-03-04
04AV069411,04 AV,ISLAND AV - J ST,,4925,,,4925,0694-11,2011-09-01
04AV002714,04 AV,ISLAND AV - J ST,,2887,,,2887,0027-14,2014-02-11
04AV054619,04 AV,ISLAND AV - MARKET  ,,4542,,,4542,0546-19,2019-12-18
04AV071205,04 AV,ISLAND AV - MARKET ST,,5100,,,5100,0712-05,2005-11-15
04AV062808,04 AV,ISLAND AV - MARKET ST,,4710,,,4710,0628-08,2008-12-04
04AV108411,04 AV,ISLAND AV - MARKET ST,,5680,,,5680,1084-11,2011-11-17
04AV002814,04 AV,ISLAND AV - MARKET ST,,4465,,,4465,0028-14,2014-02-12
04AV098115,04 AV,ISLAND AV - MARKET ST,,4176,,,4176,0981-15,2015-11-18
04AV011707,04 AV,JUNIPER ST - KALMIA ST,,7400,,,7400,0117-07,2007-03-13
04AV013410,04 AV,JUNIPER ST - KALMIA ST,,8095,,,8095,0134-10,2010-03-18
04AV018713,04 AV,JUNIPER ST - KALMIA ST,,7942,,,7942,0187-13,2013-03-12
04AV114514,04 AV,JUNIPER ST - KALMIA ST,,6934,,,6934,1145-14,2014-08-05
04AV056515,04 AV,JUNIPER ST - KALMIA ST,,7314,,,7314,0565-15,2015-03-04
04AV005921,04 AV,JUNIPER ST - KALMIA ST,,3998,,,3998,0059-21,2021-03-30
04AV046106,04 AV,MARKET ST - G ST,,11990,,,11990,0461-06,2006-10-09
04AV063609,04 AV,MARKET ST - G ST,,9335,,,9335,0636-09,2009-10-06
04AV062912,04 AV,MARKET ST - G ST,,11687,,,11687,0629-12,2012-08-07
04AV042316,04 AV,MARKET ST - G ST,,10923,,,10923,0423-16,2016-10-20
04AV117714,04 AV,PALM ST - QUINCE ST,,6616,,,6616,1177-14,2014-10-01
04AV117514,04 AV,PENNSYLVANIA AV - BROOKES AV,,6633,,,6633,1175-14,2014-10-01
04AV008805,04 AV,PENNSYLVANIA AV - ROBINSON AV,,8980,,,8980,0088-05,2005-03-29
04AV013308,04 AV,PENNSYLVANIA AV - ROBINSON AV,,6730,,,6730,0133-08,2008-03-20
04AV032411,04 AV,PENNSYLVANIA AV - ROBINSON AV,,7515,,,7515,0324-11,2011-05-26
04AV002914,04 AV,PENNSYLVANIA AV - ROBINSON AV,,6562,,,6562,0029-14,2014-02-11
04AV113714,04 AV,PENNSYLVANIA AV - ROBINSON AV,,6231,,,6231,1137-14,2014-08-05
04AV005418,04 AV,PENNSYLVANIA AV - ROBINSON AV,,6871,,,6871,0054-18,2018-03-13
04AV117614,04 AV,QUINCE ST - REDWOOD ST,,6423,,,6423,1176-14,2014-10-01
