seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt
SA-000669,70.62,ALLEY,,,394.1682,30,Alley,PCC Jointed Concrete,11825.046,Good,835084.7485
SA-000670,64.12,ALLEY,,,188.8625,30,Alley,PCC Jointed Concrete,5665.875,Fair,363295.905
SA-000673,60.93,ALLEY,,,681.0888,30,Alley,PCC Jointed Concrete,20432.664,Fair,1244962.218
SA-000674,100.00,ALLEY,,,677.1063,30,Alley,PCC Jointed Concrete,20313.189,Good,2031318.9
SA-000675,77.27,ALLEY,,,676.0895,30,Alley,PCC Jointed Concrete,20282.685,Good,1567243.07
SA-000677,67.42,ALLEY,,,302.0414,30,Alley,PCC Jointed Concrete,9061.242,Fair,610908.9356
SA-000678,60.60,ALLEY,,,677.0893,30,Alley,PCC Jointed Concrete,20312.679,Fair,1230948.347
SA-000679,100.00,ALLEY,,,679.0596,30,Alley,AC Improved,20371.788,Good,2037178.8
SA-000681,100.00,ALLEY,,,677.0738,30,Alley,PCC Jointed Concrete,20312.214,Good,2031221.4
SA-000682,54.51,ALLEY,,,580.3,30,Alley,PCC Jointed Concrete,17409,Fair,948964.59
SA-000685,51.30,ALLEY,,,680.0839,30,Alley,PCC Jointed Concrete,20402.517,Fair,1046649.122
SA-000686,42.55,ALLEY,,,672.3823,30,Alley,PCC Jointed Concrete,20171.469,Fair,858296.006
SA-000687,52.71,ALLEY,,,687.3638,30,Alley,PCC Jointed Concrete,20620.914,Fair,1086928.377
SA-000691,57.48,ALLEY,,,680.0839,30,Alley,AC Improved,20402.517,Fair,1172736.677
SA-000693,59.04,ALLEY,,,674.0364,30,Alley,PCC Jointed Concrete,20221.092,Fair,1193853.272
SA-000695,61.83,ALLEY,,,659.0759,30,Alley,PCC Jointed Concrete,19772.277,Fair,1222519.887
SA-000696,68.77,ALLEY,,,646.0774,30,Alley,PCC Jointed Concrete,19382.322,Fair,1332922.284
SA-000698,76.70,ALLEY,,,664.0753,30,Alley,PCC Jointed Concrete,19922.259,Good,1528037.265
